
category,vendor,amount,notes
Fuel,Gas Station ABC,2500.00,Monthly fuel expenses
Rent,Property Manager,15000.00,Store rent for January
Salaries,HR Department,45000.00,Staff salaries
Utilities,Electric Company,3500.00,Electricity bill
Misc,Office Supplies Inc,1200.00,Stationery and supplies
Fuel,Gas Station XYZ,1800.00,Additional fuel costs
Utilities,Water Department,800.00,Water bill
Misc,Marketing Agency,5000.00,Promotional materials
Rent,Property Manager,15000.00,Store rent for February
Salaries,HR Department,45000.00,Staff salaries
